id,room_temp,thirst,consume
1,70,4,3
2,71,4,3
3,69,1,3
4,70,1,3
5,71,3,3
6,70,4,2
7,69,3,3
8,70,5,5
9,70,4,4
10,72,5,4
11,71,2,2
12,71,3,4
13,70,5,5
14,71,4,5
15,71,4,5
16,70,2,2
17,70,4,4
18,69,3,5
19,72,3,4
20,71,3,3
21,71,2,4
22,72,3,5
23,67,1,2
24,71,4,4
25,71,3,2
26,70,3,4
27,70,2,3
28,69,3,4
29,69,4,3
30,70,3,3
31,71,2,1
32,70,1,3
33,70,2,5
34,70,2,1
35,71,4,3
36,68,2,1
37,72,4,3
38,69,3,2
39,70,3,3
40,68,3,2
41,68,3,3
42,70,4,3
43,71,4,4
44,69,2,2
45,69,3,3
46,71,3,4
47,71,4,4
48,71,3,2
49,72,4,5
50,70,2,2