pupil,school,extrav,gender,ses,popular,extrav_c,ses_c,gender_c
12,20,6,1,10,5.7,0.785,-4.263,0.5
13,20,7,0,10,5.6,1.785,-4.263,-0.5
14,20,4,1,10,6.3,-1.215,-4.263,0.5
15,20,6,1,10,5.9,0.785,-4.263,0.5
17,20,5,0,10,2.9,-0.215,-4.263,-0.5
18,20,6,1,10,6.3,0.785,-4.263,0.5
19,20,5,1,10,5.7,-0.215,-4.263,0.5
20,20,6,1,10,6.3,0.785,-4.263,0.5
21,20,5,0,10,4.2,-0.215,-4.263,-0.5
1,21,5,1,17,5.4,-0.215,2.737,0.5
2,21,5,1,17,5.7,-0.215,2.737,0.5
3,21,5,1,17,4.2,-0.215,2.737,0.5
4,21,4,1,17,3.5,-1.215,2.737,0.5
5,21,7,0,17,4.6,1.785,2.737,-0.5
6,21,5,0,17,4.1,-0.215,2.737,-0.5
7,21,5,0,17,4.2,-0.215,2.737,-0.5
8,21,4,1,17,4.6,-1.215,2.737,0.5
9,21,6,0,17,4,0.785,2.737,-0.5
10,21,3,0,17,4.5,-2.215,2.737,-0.5
11,21,6,1,17,4.9,0.785,2.737,0.5
12,21,6,0,17,5.3,0.785,2.737,-0.5
13,21,4,0,17,3.7,-1.215,2.737,-0.5
14,21,4,0,17,3.8,-1.215,2.737,-0.5
15,21,5,1,17,5.8,-0.215,2.737,0.5
16,21,4,0,17,3.7,-1.215,2.737,-0.5
17,21,5,0,17,5.4,-0.215,2.737,-0.5
18,21,4,1,17,6.7,-1.215,2.737,0.5
19,21,3,1,17,4.7,-2.215,2.737,0.5
20,21,6,1,17,6,0.785,2.737,0.5
21,21,4,1,17,6.3,-1.215,2.737,0.5
22,21,5,1,17,5,-0.215,2.737,0.5
23,21,6,1,17,5.1,0.785,2.737,0.5
1,22,3,1,11,5.7,-2.215,-3.263,0.5
2,22,2,1,11,5.8,-3.215,-3.263,0.5
3,22,6,1,11,7.6,0.785,-3.263,0.5
4,22,6,1,11,7.8,0.785,-3.263,0.5
5,22,5,0,11,5.4,-0.215,-3.263,-0.5
6,22,4,0,11,5.7,-1.215,-3.263,-0.5
7,22,4,0,11,6.3,-1.215,-3.263,-0.5
8,22,6,1,11,6.7,0.785,-3.263,0.5
9,22,4,1,11,7,-1.215,-3.263,0.5
10,22,5,0,11,5.6,-0.215,-3.263,-0.5
11,22,5,0,11,5.5,-0.215,-3.263,-0.5
12,22,6,0,11,5.4,0.785,-3.263,-0.5
13,22,6,1,11,6.7,0.785,-3.263,0.5
14,22,7,1,11,7.3,1.785,-3.263,0.5
15,22,5,0,11,6.1,-0.215,-3.263,-0.5
16,22,5,1,11,6.5,-0.215,-3.263,0.5
17,22,4,0,11,5.8,-1.215,-3.263,-0.5
18,22,6,1,11,7.1,0.785,-3.263,0.5
19,22,5,1,11,5.9,-0.215,-3.263,0.5
20,22,7,1,11,7,1.785,-3.263,0.5
1,23,6,0,15,5,0.785,0.737,-0.5
2,23,6,1,15,4.8,0.785,0.737,0.5
3,23,4,1,15,5.9,-1.215,0.737,0.5
4,23,5,0,15,4.5,-0.215,0.737,-0.5
5,23,5,1,15,6.3,-0.215,0.737,0.5
6,23,7,1,15,6,1.785,0.737,0.5
7,23,5,1,15,6.4,-0.215,0.737,0.5
8,23,4,0,15,3.3,-1.215,0.737,-0.5
9,23,6,0,15,4.6,0.785,0.737,-0.5
10,23,5,0,15,5.6,-0.215,0.737,-0.5
11,23,5,0,15,4.5,-0.215,0.737,-0.5
12,23,6,1,15,6.4,0.785,0.737,0.5
13,23,4,0,15,3.8,-1.215,0.737,-0.5
14,23,6,1,15,6.6,0.785,0.737,0.5
15,23,5,1,15,6.5,-0.215,0.737,0.5
16,23,6,0,15,5.6,0.785,0.737,-0.5
17,23,5,1,15,5.7,-0.215,0.737,0.5
18,23,5,0,15,4.2,-0.215,0.737,-0.5
19,23,7,1,15,6.7,1.785,0.737,0.5
20,23,3,0,15,3.2,-2.215,0.737,-0.5
21,23,7,0,15,5.4,1.785,0.737,-0.5
22,23,3,0,15,4.7,-2.215,0.737,-0.5
1,24,5,0,6,3.4,-0.215,-8.263,-0.5
2,24,4,0,6,2.7,-1.215,-8.263,-0.5
3,24,5,1,6,3.8,-0.215,-8.263,0.5
4,24,5,1,6,3.7,-0.215,-8.263,0.5
5,24,7,1,6,7.3,1.785,-8.263,0.5
6,24,7,1,6,6.6,1.785,-8.263,0.5
7,24,7,0,6,3,1.785,-8.263,-0.5
8,24,6,1,6,5.2,0.785,-8.263,0.5
9,24,5,0,6,4.7,-0.215,-8.263,-0.5
10,24,6,1,6,6.2,0.785,-8.263,0.5
11,24,7,0,6,4.5,1.785,-8.263,-0.5
12,24,6,0,6,3.3,0.785,-8.263,-0.5
13,24,6,0,6,3.9,0.785,-8.263,-0.5
14,24,5,0,6,3.4,-0.215,-8.263,-0.5
15,24,5,0,6,4.1,-0.215,-8.263,-0.5
16,24,7,1,6,5.3,1.785,-8.263,0.5
17,24,5,1,6,5.6,-0.215,-8.263,0.5
18,24,5,1,6,5.3,-0.215,-8.263,0.5
19,24,6,0,6,4.5,0.785,-8.263,-0.5
1,25,4,0,19,5.1,-1.215,4.737,-0.5
2,25,5,1,19,5.6,-0.215,4.737,0.5
3,25,5,1,19,5.6,-0.215,4.737,0.5
4,25,4,1,19,5.9,-1.215,4.737,0.5
5,25,7,1,19,6.5,1.785,4.737,0.5
6,25,6,0,19,3.7,0.785,4.737,-0.5
7,25,5,0,19,3.9,-0.215,4.737,-0.5
8,25,6,1,19,5.7,0.785,4.737,0.5
9,25,4,1,19,5.7,-1.215,4.737,0.5
10,25,5,0,19,5.1,-0.215,4.737,-0.5
11,25,6,1,19,5.7,0.785,4.737,0.5
12,25,6,0,19,4.6,0.785,4.737,-0.5
13,25,5,1,19,7,-0.215,4.737,0.5
14,25,4,1,19,4.7,-1.215,4.737,0.5
15,25,5,1,19,3.3,-0.215,4.737,0.5
16,25,4,0,19,4,-1.215,4.737,-0.5
17,25,5,0,19,2.9,-0.215,4.737,-0.5
18,25,5,0,19,3.8,-0.215,4.737,-0.5
19,25,5,0,19,3.7,-0.215,4.737,-0.5
20,25,5,0,19,4.3,-0.215,4.737,-0.5
1,26,5,1,10,4.1,-0.215,-4.263,0.5
2,26,4,1,10,3.7,-1.215,-4.263,0.5
3,26,6,0,10,4.1,0.785,-4.263,-0.5
4,26,4,1,10,4.1,-1.215,-4.263,0.5
5,26,4,0,10,2.8,-1.215,-4.263,-0.5
6,26,4,1,10,3.2,-1.215,-4.263,0.5
7,26,6,1,10,6,0.785,-4.263,0.5
8,26,5,0,10,3.2,-0.215,-4.263,-0.5
9,26,4,0,10,3.4,-1.215,-4.263,-0.5
10,26,4,0,10,3.2,-1.215,-4.263,-0.5
11,26,6,1,10,4.9,0.785,-4.263,0.5
12,26,5,0,10,3.5,-0.215,-4.263,-0.5
13,26,4,1,10,3.9,-1.215,-4.263,0.5
14,26,6,0,10,3.8,0.785,-4.263,-0.5
15,26,4,0,10,2.9,-1.215,-4.263,-0.5
16,26,3,1,10,3.6,-2.215,-4.263,0.5
17,26,7,1,10,6.1,1.785,-4.263,0.5
18,26,4,1,10,5.5,-1.215,-4.263,0.5
19,26,7,0,10,6.2,1.785,-4.263,-0.5
20,26,5,0,10,2.6,-0.215,-4.263,-0.5
21,26,4,1,10,4.5,-1.215,-4.263,0.5
1,27,4,0,10,2.5,-1.215,-4.263,-0.5
2,27,6,0,10,6,0.785,-4.263,-0.5
3,27,6,0,10,3.6,0.785,-4.263,-0.5
4,27,5,0,10,4.8,-0.215,-4.263,-0.5
5,27,4,0,10,2.9,-1.215,-4.263,-0.5
6,27,7,0,10,6.2,1.785,-4.263,-0.5
7,27,5,0,10,4,-0.215,-4.263,-0.5
8,27,7,0,10,4.9,1.785,-4.263,-0.5
9,27,5,1,10,5.4,-0.215,-4.263,0.5
10,27,5,0,10,4.2,-0.215,-4.263,-0.5
11,27,5,1,10,4.8,-0.215,-4.263,0.5
12,27,6,1,10,6.4,0.785,-4.263,0.5
13,27,5,0,10,3.2,-0.215,-4.263,-0.5
14,27,5,1,10,5.2,-0.215,-4.263,0.5
15,27,4,1,10,3.4,-1.215,-4.263,0.5
16,27,5,1,10,4.8,-0.215,-4.263,0.5
17,27,5,0,10,4.2,-0.215,-4.263,-0.5
18,27,4,0,10,3.2,-1.215,-4.263,-0.5
19,27,6,0,10,4.7,0.785,-4.263,-0.5
20,27,6,0,10,4.6,0.785,-4.263,-0.5
1,28,5,0,13,4.9,-0.215,-1.263,-0.5
2,28,3,1,13,4.3,-2.215,-1.263,0.5
3,28,3,0,13,3.8,-2.215,-1.263,-0.5
4,28,5,0,13,4.1,-0.215,-1.263,-0.5
5,28,6,1,13,5.5,0.785,-1.263,0.5
6,28,6,1,13,5,0.785,-1.263,0.5
7,28,6,0,13,3.6,0.785,-1.263,-0.5
8,28,5,1,13,5.4,-0.215,-1.263,0.5
9,28,6,1,13,6,0.785,-1.263,0.5
10,28,5,1,13,4.8,-0.215,-1.263,0.5
11,28,6,0,13,4.1,0.785,-1.263,-0.5
12,28,5,0,13,4.2,-0.215,-1.263,-0.5
13,28,6,1,13,5.6,0.785,-1.263,0.5
14,28,7,0,13,4.4,1.785,-1.263,-0.5
15,28,5,1,13,4.8,-0.215,-1.263,0.5
16,28,6,0,13,3.3,0.785,-1.263,-0.5
17,28,5,1,13,4.9,-0.215,-1.263,0.5
18,28,4,0,13,3.4,-1.215,-1.263,-0.5
19,28,3,1,13,3.7,-2.215,-1.263,0.5
20,28,4,1,13,4.4,-1.215,-1.263,0.5
1,29,4,1,22,5.9,-1.215,7.737,0.5
2,29,4,0,22,3.8,-1.215,7.737,-0.5
3,29,5,0,22,5.2,-0.215,7.737,-0.5
4,29,7,0,22,6.1,1.785,7.737,-0.5
5,29,4,1,22,5.5,-1.215,7.737,0.5
6,29,4,1,22,7.2,-1.215,7.737,0.5
7,29,6,0,22,6.2,0.785,7.737,-0.5
8,29,5,1,22,7.1,-0.215,7.737,0.5
9,29,4,1,22,6,-1.215,7.737,0.5
10,29,5,1,22,6,-0.215,7.737,0.5
12,29,3,0,22,5.2,-2.215,7.737,-0.5
13,29,3,0,22,6.6,-2.215,7.737,-0.5
14,29,5,1,22,5.7,-0.215,7.737,0.5
15,29,5,1,22,6.9,-0.215,7.737,0.5
16,29,5,1,22,6.6,-0.215,7.737,0.5
17,29,3,1,22,5.7,-2.215,7.737,0.5
18,29,2,0,22,4.7,-3.215,7.737,-0.5
1,30,6,0,6,3.3,0.785,-8.263,-0.5
2,30,5,0,6,2.6,-0.215,-8.263,-0.5
3,30,5,1,6,5.3,-0.215,-8.263,0.5
4,30,7,0,6,4,1.785,-8.263,-0.5
5,30,5,1,6,4.7,-0.215,-8.263,0.5
6,30,6,0,6,5.2,0.785,-8.263,-0.5
7,30,6,0,6,3.5,0.785,-8.263,-0.5
8,30,8,1,6,6.5,2.785,-8.263,0.5
9,30,5,0,6,3.9,-0.215,-8.263,-0.5
10,30,5,1,6,4.9,-0.215,-8.263,0.5
11,30,6,0,6,3.6,0.785,-8.263,-0.5
12,30,5,1,6,4.3,-0.215,-8.263,0.5
13,30,4,1,6,3.5,-1.215,-8.263,0.5
14,30,5,0,6,4,-0.215,-8.263,-0.5
15,30,8,1,6,7.1,2.785,-8.263,0.5
16,30,6,1,6,6.1,0.785,-8.263,0.5
17,30,8,1,6,4.6,2.785,-8.263,0.5
1,31,6,0,6,4.9,0.785,-8.263,-0.5
2,31,6,1,6,5.7,0.785,-8.263,0.5
4,31,6,1,6,5.2,0.785,-8.263,0.5
5,31,6,1,6,7.3,0.785,-8.263,0.5
6,31,5,0,6,3.5,-0.215,-8.263,-0.5
7,31,5,1,6,4,-0.215,-8.263,0.5
8,31,6,1,6,5.8,0.785,-8.263,0.5
9,31,5,1,6,5.8,-0.215,-8.263,0.5
10,31,5,0,6,4.4,-0.215,-8.263,-0.5
11,31,6,0,6,4.6,0.785,-8.263,-0.5
12,31,5,0,6,4.2,-0.215,-8.263,-0.5
13,31,3,0,6,1.5,-2.215,-8.263,-0.5
14,31,4,0,6,2.9,-1.215,-8.263,-0.5
15,31,4,0,6,3.2,-1.215,-8.263,-0.5
16,31,4,0,6,1.8,-1.215,-8.263,-0.5
17,31,6,1,6,5.5,0.785,-8.263,0.5
18,31,3,0,6,0.4,-2.215,-8.263,-0.5
19,31,6,0,6,5.4,0.785,-8.263,-0.5
20,31,5,1,6,5.1,-0.215,-8.263,0.5
1,32,5,1,12,6.2,-0.215,-2.263,0.5
2,32,6,0,12,5.9,0.785,-2.263,-0.5
3,32,6,1,12,4.9,0.785,-2.263,0.5
4,32,6,1,12,6,0.785,-2.263,0.5
5,32,6,0,12,4.9,0.785,-2.263,-0.5
6,32,4,0,12,3.9,-1.215,-2.263,-0.5
7,32,4,0,12,4.5,-1.215,-2.263,-0.5
8,32,5,1,12,4.6,-0.215,-2.263,0.5
9,32,3,0,12,2.4,-2.215,-2.263,-0.5
10,32,4,1,12,4.7,-1.215,-2.263,0.5
11,32,6,1,12,5,0.785,-2.263,0.5
12,32,6,0,12,5.8,0.785,-2.263,-0.5
13,32,5,1,12,6.1,-0.215,-2.263,0.5
14,32,4,0,12,4.6,-1.215,-2.263,-0.5
15,32,5,1,12,5.2,-0.215,-2.263,0.5
16,32,5,0,12,4.8,-0.215,-2.263,-0.5
17,32,5,0,12,4,-0.215,-2.263,-0.5
18,32,5,0,12,3.1,-0.215,-2.263,-0.5
19,32,6,0,12,4.8,0.785,-2.263,-0.5
20,32,6,1,12,7.3,0.785,-2.263,0.5
21,32,4,0,12,3.3,-1.215,-2.263,-0.5
22,32,5,1,12,4.2,-0.215,-2.263,0.5
23,32,6,1,12,6.9,0.785,-2.263,0.5
1,33,7,1,3,7.2,1.785,-11.263,0.5
2,33,7,1,3,8.7,1.785,-11.263,0.5
3,33,7,1,3,5.4,1.785,-11.263,0.5
4,33,8,1,3,9.2,2.785,-11.263,0.5
5,33,6,1,3,7,0.785,-11.263,0.5
6,33,7,1,3,6.4,1.785,-11.263,0.5
7,33,8,1,3,9.5,2.785,-11.263,0.5
8,33,7,1,3,8.1,1.785,-11.263,0.5
9,33,8,1,3,6,2.785,-11.263,0.5
10,33,8,1,3,7,2.785,-11.263,0.5
11,33,9,1,3,8.1,3.785,-11.263,0.5
12,33,6,1,3,7.4,0.785,-11.263,0.5
13,33,7,1,3,8.4,1.785,-11.263,0.5
14,33,6,1,3,4.7,0.785,-11.263,0.5
15,33,7,1,3,7.4,1.785,-11.263,0.5
16,33,7,1,3,5.7,1.785,-11.263,0.5
17,33,7,1,3,8,1.785,-11.263,0.5
18,33,9,1,3,8.8,3.785,-11.263,0.5
19,33,6,1,3,6.2,0.785,-11.263,0.5
1,34,6,0,8,5.8,0.785,-6.263,-0.5
2,34,5,0,8,3.8,-0.215,-6.263,-0.5
3,34,8,1,8,8.5,2.785,-6.263,0.5
4,34,7,0,8,4.6,1.785,-6.263,-0.5
5,34,6,0,8,3.9,0.785,-6.263,-0.5
6,34,5,0,8,3.9,-0.215,-6.263,-0.5
7,34,6,0,8,4.7,0.785,-6.263,-0.5
8,34,7,0,8,5.6,1.785,-6.263,-0.5
9,34,4,1,8,3.3,-1.215,-6.263,0.5
10,34,6,0,8,5.7,0.785,-6.263,-0.5
11,34,6,0,8,4.1,0.785,-6.263,-0.5
12,34,4,1,8,4.3,-1.215,-6.263,0.5
13,34,5,0,8,5.4,-0.215,-6.263,-0.5
14,34,5,0,8,4.8,-0.215,-6.263,-0.5
15,34,3,1,8,3.2,-2.215,-6.263,0.5
16,34,6,0,8,4.2,0.785,-6.263,-0.5
17,34,5,0,8,3.9,-0.215,-6.263,-0.5
18,34,7,1,8,6.1,1.785,-6.263,0.5
19,34,6,0,8,4.5,0.785,-6.263,-0.5
20,34,5,0,8,3.8,-0.215,-6.263,-0.5
21,34,6,1,8,6.8,0.785,-6.263,0.5
22,34,5,1,8,5,-0.215,-6.263,0.5
1,35,4,1,25,6,-1.215,10.737,0.5
2,35,5,1,25,7.5,-0.215,10.737,0.5
3,35,6,1,25,7.9,0.785,10.737,0.5
4,35,4,1,25,7.8,-1.215,10.737,0.5
5,35,4,1,25,7.9,-1.215,10.737,0.5
6,35,5,1,25,7,-0.215,10.737,0.5
7,35,6,1,25,5.5,0.785,10.737,0.5
8,35,4,1,25,7,-1.215,10.737,0.5
9,35,4,1,25,6.2,-1.215,10.737,0.5
10,35,7,1,25,7,1.785,10.737,0.5
11,35,4,1,25,6.6,-1.215,10.737,0.5
12,35,6,1,25,6.8,0.785,10.737,0.5
13,35,3,1,25,6.8,-2.215,10.737,0.5
14,35,6,1,25,6.8,0.785,10.737,0.5
15,35,4,1,25,7.4,-1.215,10.737,0.5
16,35,5,1,25,7.5,-0.215,10.737,0.5
17,35,6,1,25,7.1,0.785,10.737,0.5
18,35,4,1,25,6.7,-1.215,10.737,0.5
19,35,5,1,25,7.3,-0.215,10.737,0.5
20,35,3,1,25,6.7,-2.215,10.737,0.5
1,36,6,1,15,6.3,0.785,0.737,0.5
2,36,4,0,15,3.9,-1.215,0.737,-0.5
3,36,5,0,15,4,-0.215,0.737,-0.5
4,36,4,0,15,3.2,-1.215,0.737,-0.5
5,36,6,0,15,4.2,0.785,0.737,-0.5
6,36,3,1,15,5,-2.215,0.737,0.5
7,36,3,1,15,5.3,-2.215,0.737,0.5
8,36,4,1,15,5.3,-1.215,0.737,0.5
9,36,6,0,15,5.7,0.785,0.737,-0.5
10,36,4,1,15,5.2,-1.215,0.737,0.5
11,36,3,0,15,5,-2.215,0.737,-0.5
12,36,5,0,15,3.9,-0.215,0.737,-0.5
13,36,3,1,15,5.4,-2.215,0.737,0.5
14,36,4,1,15,7.4,-1.215,0.737,0.5
15,36,7,0,15,4.3,1.785,0.737,-0.5
16,36,6,1,15,6.7,0.785,0.737,0.5
17,36,5,0,15,4.4,-0.215,0.737,-0.5
18,36,4,0,15,5.3,-1.215,0.737,-0.5
19,36,4,0,15,5.3,-1.215,0.737,-0.5
1,37,5,0,20,4.6,-0.215,5.737,-0.5
2,37,5,1,20,6.9,-0.215,5.737,0.5
3,37,6,1,20,6.4,0.785,5.737,0.5
4,37,6,1,20,6.7,0.785,5.737,0.5
5,37,5,0,20,4.1,-0.215,5.737,-0.5
6,37,6,0,20,4.6,0.785,5.737,-0.5
7,37,7,0,20,5.3,1.785,5.737,-0.5
8,37,5,1,20,7.1,-0.215,5.737,0.5
9,37,6,0,20,6,0.785,5.737,-0.5
10,37,6,0,20,4,0.785,5.737,-0.5
11,37,4,1,20,4.9,-1.215,5.737,0.5
12,37,4,0,20,4.1,-1.215,5.737,-0.5
13,37,4,0,20,4.4,-1.215,5.737,-0.5
14,37,5,0,20,4.8,-0.215,5.737,-0.5
15,37,5,0,20,4.5,-0.215,5.737,-0.5
16,37,4,0,20,3.6,-1.215,5.737,-0.5
17,37,6,0,20,5.7,0.785,5.737,-0.5
18,37,7,1,20,6.8,1.785,5.737,0.5
19,37,6,1,20,7.3,0.785,5.737,0.5
1,38,5,0,18,3.5,-0.215,3.737,-0.5
2,38,5,0,18,3.5,-0.215,3.737,-0.5
3,38,5,0,18,4.9,-0.215,3.737,-0.5
4,38,5,1,18,4.8,-0.215,3.737,0.5
5,38,5,1,18,5.8,-0.215,3.737,0.5
6,38,5,1,18,5.9,-0.215,3.737,0.5
7,38,4,1,18,5,-1.215,3.737,0.5
8,38,6,0,18,4.3,0.785,3.737,-0.5
9,38,4,1,18,4.6,-1.215,3.737,0.5
10,38,4,0,18,3.6,-1.215,3.737,-0.5
11,38,4,0,18,3,-1.215,3.737,-0.5
12,38,6,0,18,4.5,0.785,3.737,-0.5
13,38,4,0,18,3.9,-1.215,3.737,-0.5
14,38,5,0,18,4.2,-0.215,3.737,-0.5
15,38,5,1,18,6,-0.215,3.737,0.5
16,38,6,1,18,6.5,0.785,3.737,0.5
17,38,5,0,18,3.4,-0.215,3.737,-0.5
1,39,4,1,19,5.4,-1.215,4.737,0.5
2,39,4,1,19,5.6,-1.215,4.737,0.5
3,39,4,0,19,3.6,-1.215,4.737,-0.5
4,39,6,0,19,4.7,0.785,4.737,-0.5
5,39,4,1,19,5.7,-1.215,4.737,0.5
6,39,4,1,19,4.8,-1.215,4.737,0.5
7,39,7,1,19,6.4,1.785,4.737,0.5
8,39,5,1,19,4.9,-0.215,4.737,0.5
9,39,5,1,19,5.3,-0.215,4.737,0.5
10,39,5,1,19,5.5,-0.215,4.737,0.5
11,39,6,0,19,3.9,0.785,4.737,-0.5
12,39,5,0,19,5.1,-0.215,4.737,-0.5
13,39,4,0,19,4.8,-1.215,4.737,-0.5
14,39,3,1,19,4.6,-2.215,4.737,0.5
15,39,4,0,19,5.2,-1.215,4.737,-0.5
16,39,6,1,19,6,0.785,4.737,0.5
1,40,8,1,2,6.4,2.785,-12.263,0.5
2,40,8,1,2,5.1,2.785,-12.263,0.5
3,40,9,1,2,7.7,3.785,-12.263,0.5
4,40,9,1,2,7.4,3.785,-12.263,0.5
5,40,8,1,2,6.8,2.785,-12.263,0.5
6,40,10,1,2,6.8,4.785,-12.263,0.5
7,40,9,1,2,8.2,3.785,-12.263,0.5
8,40,10,1,2,7.6,4.785,-12.263,0.5
9,40,9,1,2,7.5,3.785,-12.263,0.5
10,40,8,1,2,6.5,2.785,-12.263,0.5
11,40,7,1,2,4.3,1.785,-12.263,0.5
12,40,10,1,2,7.7,4.785,-12.263,0.5
13,40,8,1,2,7.5,2.785,-12.263,0.5
14,40,9,1,2,6.5,3.785,-12.263,0.5
15,40,10,1,2,8.6,4.785,-12.263,0.5
16,40,9,1,2,5.4,3.785,-12.263,0.5
17,40,8,1,2,4.5,2.785,-12.263,0.5
